CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2025-12-12 01:59:47.9757472,E:\Windows\prefetch\GLB1.TMP-148E81C1.pf,D:\Data\Target\E\Windows\prefetch\GLB1.TMP-148E81C1.pf,15114,18F45FC8E250EB0A96AFE7563732726912503566,False,2002-03-01 15:38:59.4276320,2002-03-01 15:38:59.4276320,2002-03-01 15:38:59.4276320,00:00:00
2025-12-12 01:59:47.9866393,E:\Windows\prefetch\GLB13.TMP-0BAC31D5.pf,D:\Data\Target\E\Windows\prefetch\GLB13.TMP-0BAC31D5.pf,14916,2054E2DF46B5CEC038DB9AAA96CC0E23D058942E,False,2002-03-01 15:57:42.0296704,2002-03-01 15:57:42.0396848,2002-03-01 15:57:42.0396848,00:00:00.0108921
2025-12-12 01:59:47.9926614,E:\Windows\prefetch\GLB1B.TMP-1354A202.pf,D:\Data\Target\E\Windows\prefetch\GLB1B.TMP-1354A202.pf,14574,B7F99A47C483C4E4A774264DDCC85CF62A001424,False,2002-03-01 15:58:36.2070304,2002-03-01 15:58:36.2070304,2002-03-01 15:58:36.2070304,00:00:00.0029119
2025-12-12 01:59:47.9945901,E:\Windows\prefetch\GLB23.TMP-2405BA7C.pf,D:\Data\Target\E\Windows\prefetch\GLB23.TMP-2405BA7C.pf,15692,F0B7440CCAC03BC987CFC40CF8D3F6E5F5131403,False,2002-03-01 15:26:38.7321856,2002-03-01 15:26:38.7622288,2002-03-01 15:26:38.7622288,00:00:00
2025-12-12 01:59:48.0056584,E:\Windows\prefetch\GLB98.TMP-26E37750.pf,D:\Data\Target\E\Windows\prefetch\GLB98.TMP-26E37750.pf,15310,0F506383475EDF55846A5559CB5B1D158AA66AC0,False,2002-03-31 16:22:19.7050064,2002-03-31 16:22:19.7250352,2002-03-31 16:22:19.7250352,00:00:00.0031445
2025-12-12 01:59:48.0083242,E:\Windows\prefetch\GLJ25.TMP-176642C3.pf,D:\Data\Target\E\Windows\prefetch\GLJ25.TMP-176642C3.pf,13368,4A2E48ACAA7EE54199BB0DC04A3AC1674581B7BB,False,2002-03-01 15:26:38.6620848,2002-03-01 15:26:43.9496880,2002-03-01 15:26:43.9496880,00:00:00
2025-12-12 01:59:48.0083242,E:\Windows\prefetch\GLJ3.TMP-06FE9C2B.pf,D:\Data\Target\E\Windows\prefetch\GLJ3.TMP-06FE9C2B.pf,14486,AB848D1E6E2D73CE42922B6190E9D62C71E2FCE9,False,2002-03-01 15:11:43.3766816,2002-03-01 15:11:52.2394256,2002-03-01 15:11:52.2394256,00:00:00
2025-12-12 01:59:48.0182713,E:\Windows\prefetch\GRPCONV.EXE-111CD845.pf,D:\Data\Target\E\Windows\prefetch\GRPCONV.EXE-111CD845.pf,12374,74CE60C4ABBDDA3BAECAD057FF428A3DB356F0FF,False,2002-03-01 15:10:35.7093808,2002-03-31 16:49:27.9453296,2002-03-31 16:49:27.9453296,00:00:00
2025-12-12 01:59:48.0182713,E:\Windows\prefetch\HELPCTR.EXE-3862B6F5.pf,D:\Data\Target\E\Windows\prefetch\HELPCTR.EXE-3862B6F5.pf,69648,70208BFC13748B5C80CDEA372E3BE11347061EF3,False,2002-03-31 15:02:14.9339940,2002-05-14 18:54:52.1680768,2002-05-14 18:54:52.1680768,00:00:00
2025-12-12 01:59:48.0344220,E:\Windows\prefetch\HELPSVC.EXE-2878DDA2.pf,D:\Data\Target\E\Windows\prefetch\HELPSVC.EXE-2878DDA2.pf,27490,74D5696CCC62E2DC9C628BF16390D370E6243C52,False,2002-03-31 15:02:20.4182364,2002-06-03 23:48:34.6904416,2002-06-03 23:48:34.6904416,00:00:00.0017812
2025-12-12 01:59:48.0422710,E:\Windows\prefetch\IE4UINIT.EXE-169A5A39.pf,D:\Data\Target\E\Windows\prefetch\IE4UINIT.EXE-169A5A39.pf,27866,48F3DFCA1229520A86B188883B80A950681CF402,False,2002-02-28 22:22:46.2405728,2002-02-28 22:22:46.2405728,2002-02-28 22:22:46.2405728,00:00:00.0078490
2025-12-12 01:59:48.0422710,E:\Windows\prefetch\IEXPLORE.EXE-27122324.pf,D:\Data\Target\E\Windows\prefetch\IEXPLORE.EXE-27122324.pf,77448,22B0522A97C0DF5F2A9FBFA3A0F76B92D6194ED2,False,2002-03-01 15:39:55.9489056,2002-06-04 23:40:38.0912000,2002-06-04 23:40:38.0912000,00:00:00
2025-12-12 01:59:48.0503044,E:\Windows\prefetch\IMAPI.EXE-0BF740A4.pf,D:\Data\Target\E\Windows\prefetch\IMAPI.EXE-0BF740A4.pf,9900,871F17B1FA9047D1BB464E56E2321338AE4517D3,False,2002-02-28 22:24:19.2743488,2002-06-05 00:40:07.9943808,2002-06-05 00:40:07.9943808,00:00:00
